name,x,y
AL,7,6
AK,0,1
AZ,2,5
AR,5,5
CA,1,4
CO,3,4
CT,10,3
DE,10,4
FL,9,7
GA,8,6
HI,0,6
ID,2,2
IL,6,3
IN,6,4
IA,5,3
KS,4,5
KY,6,5
LA,5,6
ME,11,0
MD,9,4
MA,10,2
MI,7,2
MN,5,2
MS,6,6
MO,5,4
MT,3,2
NE,4,4
NV,2,4
NH,11,1
NJ,9,3
NM,3,5
NY,9,2
NC,9,5
ND,4,2
OH,7,3
OK,4,6
OR,1,3
PA,8,3
RI,11,2
SC,8,5
SD,4,3
TN,7,5
TX,4,7
UT,2,3
VT,10,1
VA,8,4
WA,1,2
WV,7,4
WI,6,2
WY,3,3
